"face_id,Manipulation,manipulated,none"
"2,Averageness,4.416666666666667,4.117647058823529"
"2,Femininity,3.7777777777777777,4.130434782608695"
"2,Masculinity,4.0,4.466666666666667"
"2,Symmetry,4.3076923076923075,4.25"
"3,Averageness,3.25,2.310344827586207"
"3,Femininity,2.1363636363636362,2.1578947368421053"
"3,Masculinity,2.4,2.45"
"3,Symmetry,2.1052631578947367,2.347826086956522"
"4,Averageness,3.25,3.64"
"4,Femininity,2.933333333333333,2.730769230769231"
"4,Masculinity,2.9615384615384617,3.0"
"4,Symmetry,2.740740740740741,2.933333333333333"
"8,Averageness,3.4210526315789473,3.0"
"8,Femininity,3.6470588235294117,3.25"
"8,Masculinity,3.772727272727273,3.5"
"8,Symmetry,3.5,2.9"
"12,Averageness,2.6666666666666665,1.75"
"12,Femininity,1.68,2.25"
"12,Masculinity,2.388888888888889,1.84375"
"12,Symmetry,1.8571428571428572,2.1904761904761907"
"13,Averageness,3.619047619047619,3.6"
"13,Femininity,3.6363636363636362,3.0"
"13,Masculinity,3.566666666666667,3.75"
"13,Symmetry,3.5555555555555554,2.933333333333333"
"20,Averageness,4.545454545454546,3.8947368421052633"
"20,Femininity,3.727272727272727,3.3684210526315788"
"20,Masculinity,3.85,4.6"
"20,Symmetry,2.909090909090909,4.35"
"25,Averageness,3.6470588235294117,3.4583333333333335"
"25,Femininity,3.2,3.4615384615384617"
"25,Masculinity,4.173913043478261,3.962962962962963"
"25,Symmetry,3.3333333333333335,3.0555555555555554"
"41,Averageness,3.411764705882353,3.5833333333333335"
"41,Femininity,3.1666666666666665,3.235294117647059"
"41,Masculinity,3.076923076923077,3.5416666666666665"
"41,Symmetry,2.8076923076923075,3.8125"
"48,Averageness,5.076923076923077,4.107142857142857"
"48,Femininity,3.6315789473684212,3.772727272727273"
"48,Masculinity,4.3076923076923075,4.75"
"48,Symmetry,3.6923076923076925,4.125"
"55,Averageness,3.0,2.3125"
"55,Femininity,2.3181818181818183,2.8421052631578947"
"55,Masculinity,2.75,2.8076923076923075"
"55,Symmetry,2.05,2.3636363636363638"
"56,Averageness,3.8333333333333335,3.6956521739130435"
"56,Femininity,3.5714285714285716,3.3"
"56,Masculinity,3.5555555555555554,3.869565217391304"
"56,Symmetry,2.909090909090909,3.5"
"58,Averageness,3.625,3.0588235294117645"
"58,Femininity,2.3333333333333335,2.652173913043478"
"58,Masculinity,2.5652173913043477,2.8518518518518516"
"58,Symmetry,2.2857142857142856,2.642857142857143"
"63,Averageness,3.05,2.4285714285714284"
"63,Femininity,2.0952380952380953,2.45"
"63,Masculinity,2.5806451612903225,2.4210526315789473"
"63,Symmetry,2.1923076923076925,2.0625"
"66,Averageness,3.1052631578947367,2.3181818181818183"
"66,Femininity,2.590909090909091,2.1052631578947367"
"66,Masculinity,2.25,2.3636363636363638"
"66,Symmetry,2.7777777777777777,2.4166666666666665"
"70,Averageness,2.9375,2.28"
"70,Femininity,2.739130434782609,2.2777777777777777"
"70,Masculinity,2.9285714285714284,2.5"
"70,Symmetry,2.1,2.227272727272727"
"71,Averageness,3.9,2.761904761904762"
"71,Femininity,3.5789473684210527,2.8181818181818183"
"71,Masculinity,3.259259259259259,3.5217391304347827"
"71,Symmetry,3.1363636363636362,2.7"
"72,Averageness,2.7222222222222223,3.3043478260869565"
"72,Femininity,2.411764705882353,2.9583333333333335"
"72,Masculinity,2.935483870967742,3.3684210526315788"
"72,Symmetry,2.75,2.8636363636363638"
"74,Averageness,2.85,2.4761904761904763"
"74,Femininity,2.6315789473684212,2.090909090909091"
"74,Masculinity,2.230769230769231,2.75"
"74,Symmetry,2.380952380952381,1.9523809523809523"
"75,Averageness,3.125,2.411764705882353"
"75,Femininity,2.9285714285714284,2.4444444444444446"
"75,Masculinity,2.7857142857142856,2.9545454545454546"
"75,Symmetry,2.611111111111111,2.5833333333333335"
"79,Averageness,2.576923076923077,2.6"
"79,Femininity,2.5454545454545454,2.0526315789473686"
"79,Masculinity,2.4285714285714284,2.909090909090909"
"79,Symmetry,2.6923076923076925,1.9375"
"80,Averageness,2.8095238095238093,2.75"
"80,Femininity,2.2857142857142856,2.85"
"80,Masculinity,2.625,2.923076923076923"
"80,Symmetry,2.5652173913043477,2.1052631578947367"
"82,Averageness,3.5714285714285716,2.962962962962963"
"82,Femininity,2.9411764705882355,2.7083333333333335"
"82,Masculinity,3.1153846153846154,3.4583333333333335"
"82,Symmetry,2.652173913043478,2.736842105263158"
"83,Averageness,3.8333333333333335,3.235294117647059"
"83,Femininity,3.0,3.0833333333333335"
"83,Masculinity,3.130434782608696,3.8518518518518516"
"83,Symmetry,2.8823529411764706,3.32"
"84,Averageness,3.2777777777777777,2.8260869565217392"
"84,Femininity,2.130434782608696,2.8333333333333335"
"84,Masculinity,2.896551724137931,2.8095238095238093"
"84,Symmetry,2.619047619047619,2.4285714285714284"
"85,Averageness,4.0,3.380952380952381"
"85,Femininity,3.380952380952381,3.3"
"85,Masculinity,4.04,4.08"
"85,Symmetry,3.3636363636363638,3.75"
"86,Averageness,2.789473684210526,2.5"
"86,Femininity,2.375,2.3529411764705883"
"86,Masculinity,2.6774193548387095,3.263157894736842"
"86,Symmetry,2.5454545454545454,2.45"
"87,Averageness,3.9047619047619047,4.2"
"87,Femininity,3.411764705882353,3.6666666666666665"
"87,Masculinity,3.3461538461538463,4.083333333333333"
"87,Symmetry,3.65,3.6818181818181817"
"89,Averageness,4.260869565217392,4.777777777777778"
"89,Femininity,4.818181818181818,3.6842105263157894"
"89,Masculinity,4.7272727272727275,5.178571428571429"
"89,Symmetry,4.095238095238095,4.095238095238095"
"94,Averageness,4.0,4.190476190476191"
